Dataset,Graph,Method,Fidelity+,Fidelity-,Sparsity
SYNTHETIC,0,Ours-Node,1.0,0.0,0.2222222222222222
SYNTHETIC,0,Ours-Edge,0.6103285001460207,0.9967690231278539,0.9310344827586207
SYNTHETIC,0,Ours-Subgraph,1.0,0.0,0.0
SYNTHETIC,0,Ours-Global,1.0,0.16238564252853394,0.8448275862068966
SYNTHETIC,0,GNNExplainer,1.0,0.0030553340911865234,0.0
SYNTHETIC,0,GradCAM,1.0,0.0,0.11111111111111116
SYNTHETIC,0,GraphMask,0.14885644371385962,0.003200829029083252,0.0
SYNTHETIC,0,PGExplainer,0.0012897671458765702,0.0009832978248596191,0.0
SYNTHETIC,1,Ours-Node,1.0,0.0,0.125
SYNTHETIC,1,Ours-Edge,1.0,0.8543060773517936,0.7272727272727273
SYNTHETIC,1,Ours-Subgraph,0.09930117974822969,0.03972893953323364,0.0
SYNTHETIC,1,Ours-Global,0.09930117974822969,0.052616119384765625,0.8636363636363636
SYNTHETIC,1,GNNExplainer,0.09930117974822969,0.19734525680541992,0.0
SYNTHETIC,1,GradCAM,1.0,0.0,0.125
SYNTHETIC,1,GraphMask,1.0,0.34684932231903076,0.0
SYNTHETIC,1,PGExplainer,2.1427820997419652e-07,0.08028894662857056,0.0
SYNTHETIC,2,Ours-Node,1.0,0.0,0.33333333333333337
SYNTHETIC,2,Ours-Edge,1.0,0.9058387293480337,0.7678571428571428
SYNTHETIC,2,Ours-Subgraph,1.0,0.6812184453010559,0.0
SYNTHETIC,2,Ours-Global,1.0,0.009402215480804443,0.6428571428571428
SYNTHETIC,2,GNNExplainer,1.0,0.0,0.0
SYNTHETIC,2,GradCAM,1.0,0.0,0.5555555555555556
SYNTHETIC,2,GraphMask,1.0,0.14138954877853394,0.0357142857142857
SYNTHETIC,2,PGExplainer,0.0005598127052601787,0.0,0.3928571428571429
SYNTHETIC,3,Ours-Node,1.0,0.0,0.38888888888888884
SYNTHETIC,3,Ours-Edge,1.0,0.9183006219464005,0.9032258064516129
SYNTHETIC,3,Ours-Subgraph,1.0,0.0,0.0
SYNTHETIC,3,Ours-Global,1.0,0.9183229981917975,0.6612903225806452
SYNTHETIC,3,GNNExplainer,1.0,0.0,0.032258064516129004
SYNTHETIC,3,GradCAM,1.0,0.0,0.38888888888888884
SYNTHETIC,3,GraphMask,1.0,0.9171996250515804,0.0
SYNTHETIC,3,PGExplainer,0.15378139508437424,0.0,0.4193548387096774
SYNTHETIC,4,Ours-Node,1.0,0.0,0.4444444444444444
SYNTHETIC,4,Ours-Edge,1.0,0.9981049299240112,0.9615384615384616
SYNTHETIC,4,Ours-Subgraph,1.0,0.0009791254997253418,0.0
SYNTHETIC,4,Ours-Global,1.0,0.9981049299240109,0.9230769230769231
SYNTHETIC,4,GNNExplainer,1.0,0.0,0.0
SYNTHETIC,4,GradCAM,1.0,0.0,0.33333333333333337
SYNTHETIC,4,GraphMask,1.0,0.040584027767181396,0.038461538461538436
SYNTHETIC,4,PGExplainer,1.0,0.002456843852996826,0.5769230769230769
SYNTHETIC,5,Ours-Node,1.0,0.0,0.33333333333333337
SYNTHETIC,5,Ours-Edge,1.0,0.6061100959777832,0.9444444444444444
SYNTHETIC,5,Ours-Subgraph,1.0,0.0004596114158630371,0.0
SYNTHETIC,5,Ours-Global,1.0,0.0,0.9444444444444444
SYNTHETIC,5,GNNExplainer,8.341817534266621e-06,0.0,0.0
SYNTHETIC,5,GradCAM,1.0,0.0,0.4444444444444444
SYNTHETIC,5,GraphMask,1.0,0.6061100959777832,0.0
SYNTHETIC,5,PGExplainer,1.0,0.6061100959777832,0.33333333333333337
SYNTHETIC,6,Ours-Node,1.0,0.0,0.09999999999999998
SYNTHETIC,6,Ours-Edge,0.05896712035578244,0.0,1.0
SYNTHETIC,6,Ours-Subgraph,0.05896712035578244,0.0,0.0
SYNTHETIC,6,Ours-Global,0.05896712035578244,0.0,0.9666666666666667
SYNTHETIC,6,GNNExplainer,0.05896712035578244,0.0,0.033333333333333326
SYNTHETIC,6,GradCAM,1.0,0.0,0.09999999999999998
SYNTHETIC,6,GraphMask,0.05896712035578244,0.0,0.0
SYNTHETIC,6,PGExplainer,0.9999999900000002,0.0,0.0
SYNTHETIC,7,Ours-Node,1.0,0.0,0.11111111111111116
SYNTHETIC,7,Ours-Edge,0.9999999900000002,0.9999169126094785,0.9848484848484849
SYNTHETIC,7,Ours-Subgraph,0.9999999900000002,0.0,0.0
SYNTHETIC,7,Ours-Global,0.9999999900000002,0.9997687368741026,0.7424242424242424
SYNTHETIC,7,GNNExplainer,0.9999999900000002,4.6253204345703125e-05,0.0
SYNTHETIC,7,GradCAM,1.0,0.0,0.11111111111111116
SYNTHETIC,7,GraphMask,0.00157080554229543,2.9206275939941406e-05,0.030303030303030276
SYNTHETIC,7,PGExplainer,0.9999999900000002,0.17118412256240845,0.030303030303030276
SYNTHETIC,8,Ours-Node,1.0,0.0,0.33333333333333337
SYNTHETIC,8,Ours-Edge,1.0,0.5008802948714774,0.625
SYNTHETIC,8,Ours-Subgraph,1.0147265744129123e-06,0.0,0.0
SYNTHETIC,8,Ours-Global,1.0147265744129123e-06,0.0,0.9583333333333334
SYNTHETIC,8,GNNExplainer,1.0,0.5008764573099143,0.04166666666666663
SYNTHETIC,8,GradCAM,1.0,0.0,0.33333333333333337
SYNTHETIC,8,GraphMask,1.0147265744129123e-06,0.0,0.0
SYNTHETIC,8,PGExplainer,1.0,0.5008596331972512,0.08333333333333337
SYNTHETIC,9,Ours-Node,1.0,0.0,0.16666666666666663
SYNTHETIC,9,Ours-Edge,0.9999999900000002,0.001002967357635498,0.859375
SYNTHETIC,9,Ours-Subgraph,0.9999999900000002,1.1920928955078125e-07,0.0
SYNTHETIC,9,Ours-Global,0.01949383485194905,5.960464477539062e-07,0.609375
SYNTHETIC,9,GNNExplainer,4.807880712103763e-09,0.0,0.0
SYNTHETIC,9,GradCAM,1.0,0.0,0.16666666666666663
SYNTHETIC,9,GraphMask,0.9999999900000002,0.0,0.03125
SYNTHETIC,9,PGExplainer,0.998238791973789,1.6927719116210938e-05,0.0
SYNTHETIC,10,Ours-Node,1.0,0.0,0.19999999999999996
SYNTHETIC,10,Ours-Edge,1.0,0.35056841373443604,0.9
SYNTHETIC,10,Ours-Subgraph,1.0,0.0,0.0
SYNTHETIC,10,Ours-Global,1.0,0.0,0.8166666666666667
SYNTHETIC,10,GNNExplainer,5.805239113402606e-05,1.7881393432617188e-06,0.033333333333333326
SYNTHETIC,10,GradCAM,1.0,0.0,0.0
SYNTHETIC,10,GraphMask,5.805239113402606e-05,0.0,0.01666666666666672
SYNTHETIC,10,PGExplainer,0.9941974003063492,0.00014895200729370117,0.0
SYNTHETIC,11,Ours-Node,1.0,0.0,0.25
SYNTHETIC,11,Ours-Edge,1.0,0.7939978986978531,0.975
SYNTHETIC,11,Ours-Subgraph,0.9999996323717844,0.0,0.0
SYNTHETIC,11,Ours-Global,1.0,0.12011975049972534,0.925
SYNTHETIC,11,GNNExplainer,0.9999996323717844,0.0,0.0
SYNTHETIC,11,GradCAM,1.0,0.0,0.0625
SYNTHETIC,11,GraphMask,0.9999996323717844,2.384185791015625e-07,0.025000000000000022
SYNTHETIC,11,PGExplainer,1.0,0.0010141730308532715,0.050000000000000044
SYNTHETIC,12,Ours-Node,1.0,0.0,0.33333333333333337
SYNTHETIC,12,Ours-Edge,1.0,0.6116208103485405,0.9137931034482758
SYNTHETIC,12,Ours-Subgraph,1.0,0.0,0.0
SYNTHETIC,12,Ours-Global,1.0,0.029908061027526855,0.6206896551724138
SYNTHETIC,12,GNNExplainer,1.0,0.35191068053245544,0.0
SYNTHETIC,12,GradCAM,1.0,0.0,0.4444444444444444
SYNTHETIC,12,GraphMask,1.0,0.01240551471710205,0.051724137931034475
SYNTHETIC,12,PGExplainer,1.0,0.0,0.3448275862068966
SYNTHETIC,13,Ours-Node,1.0,0.0,0.25
SYNTHETIC,13,Ours-Edge,0.9999999900000002,0.7476499676704407,0.962962962962963
SYNTHETIC,13,Ours-Subgraph,0.9999999900000002,4.76837158203125e-07,0.0
SYNTHETIC,13,Ours-Global,0.9999999900000002,2.384185791015625e-05,0.5925925925925926
SYNTHETIC,13,GNNExplainer,0.9999999900000002,0.0,0.01851851851851849
SYNTHETIC,13,GradCAM,1.0,0.0,0.25
SYNTHETIC,13,GraphMask,0.9999999900000002,0.0,0.01851851851851849
SYNTHETIC,13,PGExplainer,0.9974979658512838,0.0,0.0
SYNTHETIC,14,Ours-Node,1.0,0.0,0.25
SYNTHETIC,14,Ours-Edge,0.9999999900000002,0.9911577235907316,0.9722222222222222
SYNTHETIC,14,Ours-Subgraph,0.9999999900000002,1.1920928955078125e-07,0.0
SYNTHETIC,14,Ours-Global,0.9999999900000002,0.02107900381088257,0.7777777777777778
SYNTHETIC,14,GNNExplainer,3.2047630287818773e-12,0.0,0.01388888888888884
SYNTHETIC,14,GradCAM,1.0,0.0,0.25
SYNTHETIC,14,GraphMask,7.086092338875088e-06,0.0,0.0
SYNTHETIC,14,PGExplainer,0.9999999900000002,0.00019484758377075195,0.13888888888888884
SYNTHETIC,15,Ours-Node,1.0,0.0,0.0
SYNTHETIC,15,Ours-Edge,1.0,0.9994170053832931,0.9166666666666666
SYNTHETIC,15,Ours-Subgraph,1.0,0.017163753509521484,0.0
SYNTHETIC,15,Ours-Global,1.0,0.9799695797264576,0.7222222222222222
SYNTHETIC,15,GNNExplainer,7.178281403665267e-14,0.004667401313781738,0.05555555555555558
SYNTHETIC,15,GradCAM,1.0,0.0,0.0
SYNTHETIC,15,GraphMask,1.0,0.0,0.0
SYNTHETIC,15,PGExplainer,3.6782045728683376e-08,0.0,0.0
SYNTHETIC,16,Ours-Node,1.0,0.0,0.0
SYNTHETIC,16,Ours-Edge,1.0,0.016603589057922363,0.84375
SYNTHETIC,16,Ours-Subgraph,1.0,0.0,0.0
SYNTHETIC,16,Ours-Global,1.0,0.0003333091735839844,0.90625
SYNTHETIC,16,GNNExplainer,1.0,1.049041748046875e-05,0.0
SYNTHETIC,16,GradCAM,1.0,0.0,0.0
SYNTHETIC,16,GraphMask,1.0,0.0,0.03125
SYNTHETIC,16,PGExplainer,1.0,0.0,0.0
SYNTHETIC,17,Ours-Node,1.0,0.0,0.3846153846153846
SYNTHETIC,17,Ours-Edge,1.0,0.9217841289937496,0.9444444444444444
SYNTHETIC,17,Ours-Subgraph,0.8818755143422571,0.03197687864303589,0.0
SYNTHETIC,17,Ours-Global,0.8818755143422571,0.0,0.6111111111111112
SYNTHETIC,17,GNNExplainer,0.8818755143422571,0.0,0.02777777777777779
SYNTHETIC,17,GradCAM,1.0,0.0,0.07692307692307687
SYNTHETIC,17,GraphMask,0.8818755143422571,0.0,0.0
SYNTHETIC,17,PGExplainer,1.0,0.0,0.0
SYNTHETIC,18,Ours-Node,1.0,0.0,0.25
SYNTHETIC,18,Ours-Edge,1.0,0.9447525441646576,0.9545454545454546
SYNTHETIC,18,Ours-Subgraph,0.4439674043897631,0.0,0.0
SYNTHETIC,18,Ours-Global,0.4439674043897631,0.0,0.6818181818181819
SYNTHETIC,18,GNNExplainer,0.4439674043897631,0.001852571964263916,0.045454545454545414
SYNTHETIC,18,GradCAM,1.0,0.0,0.0
SYNTHETIC,18,GraphMask,0.4439674043897631,0.017650067806243896,0.0
SYNTHETIC,18,PGExplainer,1.8313011720493725e-05,0.0023566484451293945,0.0
SYNTHETIC,19,Ours-Node,1.0,0.0,0.09090909090909094
SYNTHETIC,19,Ours-Edge,0.9999999900000002,0.06787121295928955,0.9285714285714286
SYNTHETIC,19,Ours-Subgraph,0.9999999900000002,0.0,0.0
SYNTHETIC,19,Ours-Global,0.9999999900000002,1.2636184692382812e-05,0.8214285714285714
SYNTHETIC,19,GNNExplainer,0.9999999900000002,0.0,0.0
SYNTHETIC,19,GradCAM,1.0,0.0,0.09090909090909094
SYNTHETIC,19,GraphMask,0.9999936719077172,0.0,0.0
SYNTHETIC,19,PGExplainer,0.9999999900000002,0.0,0.0
